date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:02	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2266496def-65c5%22	https://templates.hibootstrap.com/sanu/default/assets/css/aos.css	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/css/aos.css	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:02	106726/106726	---MCZ	200	added ('OK')	text/css	etag:W/%2266496def-1a0e6%22	https://templates.hibootstrap.com/sanu/default/assets/css/style.css	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/css/style.css	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:02	19143/19143	---MCZ	200	added ('OK')	text/css	etag:W/%2266496def-4ac7%22	https://templates.hibootstrap.com/sanu/default/assets/css/dark.css	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/css/dark.css	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:02	58380/58380	---MCZ	200	added ('OK')	text/css	etag:W/%2266496def-e40c%22	https://templates.hibootstrap.com/sanu/default/assets/css/responsive.css	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/css/responsive.css	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:02	988/988	---M--	200	added ('OK')	image/png	etag:%2266496def-3f9%22	https://templates.hibootstrap.com/sanu/default/assets/images/favicon.png	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/favicon.png	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:03	37188/37188	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/graduate-admission.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/graduate-admission.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:03	39080/39080	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/campus-life.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/campus-life.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:04	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Nov%202024%2012:46:04%20GMT	https://templates.hibootstrap.com/sanu/default/admission.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/admission.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:04	39668/39668	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/academics.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/academics.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:04	39279/39279	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/alumni.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/alumni.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
